unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,8,54,36,24,7,127,31,10,60,146,679,12,5,583,9,609,1791,January,2025
CMP,2,7,3,7,0,26,5,4,12,28,120,3,0,152,2,157,371,January,2025
KMP,2,1,2,3,0,19,2,0,0,14,47,4,0,83,1,88,178,January,2025
RMP,1,0,2,0,0,12,1,1,4,5,51,1,1,87,0,89,166,January,2025
BMP,0,0,3,0,1,14,0,1,10,8,49,0,1,45,0,46,132,January,2025
SMP,0,1,0,5,0,7,0,0,7,20,60,0,3,25,18,46,146,January,2025
RPMP,0,2,1,0,0,4,5,0,0,7,32,1,2,20,0,23,74,January,2025
GMP,2,9,5,2,0,25,2,1,7,10,116,6,0,72,0,78,257,January,2025
Dhaka Range,24,31,76,4,0,229,16,5,44,106,1092,15,8,725,3,751,2378,January,2025
Mymensingh Range,4,2,13,11,0,85,5,2,7,46,427,3,0,234,28,265,867,January,2025
Chittagong Range,8,27,51,11,0,191,16,5,50,92,970,45,4,703,26,778,2199,January,2025
Sylhet Range,5,6,21,2,0,56,3,3,5,39,392,1,0,151,27,179,711,January,2025
Khulna Range,4,10,28,5,0,153,3,0,17,79,637,15,1,390,7,413,1349,January,2025
Barishal Range,4,2,12,12,0,98,3,3,15,40,515,3,2,138,0,143,847,January,2025
Rajshahi Range,4,12,22,5,0,200,9,1,10,73,670,16,8,532,13,569,1575,January,2025
Rangpur Range,3,6,19,0,0,194,4,2,14,67,730,4,0,423,7,434,1473,January,2025
Railway Range,0,1,0,0,0,0,0,0,0,17,16,0,0,23,1,24,58,January,2025
Total,71,171,294,91,8,1440,105,38,262,797,6603,129,35,4386,142,4692,14572,January,2025
